cep;latitude;longitude
00000001;-10,042187699999999;-67,528243000000003
00000002;-10,015466999999999;-67,492834999999999
00000003;-17,452382900000000;-54,125354000000002
00000004;-9,877420600000001;-67,894500199999996
00000005;-10,615547700000000;-65,665474700000004
00000006;-13,698094400000000;-56,220952500000003
00000008;-14,912018600000000;-41,618526500000002
00000009;-11,384950000000000;-63,270186799999998
00000010;-9,889155199999999;-67,828918400000006
00000011;-13,290049600000000;-58,019681599999998
00000015;-16,399674999999998;-47,985803300000001
00000017;-14,606919200000000;-39,058180700000001
00000032;-16,396030000000000;-47,878893300000001
00000035;-4,545563000000000;-58,597218200000000
00000036;-16,433500500000001;-47,922811099999997
00000040;-12,993536100000000;-38,513350699999997
00000044;-16,430766700000000;-47,943750000000001
00000045;-14,967774400000000;-40,988471300000000
00000051;-16,431500000000000;-47,917684999999999
00000054;-16,433180799999999;-47,914332500000000
00000055;-16,435618300000002;-48,033985000000001
00000058;-16,435378300000000;-47,926848300000003
00000060;-3,767009500000000;-38,585288900000002
00000064;-16,386576699999999;-47,954099999999997
00000065;-16,436297900000000;-47,884385399999999
00000066;-16,379113900000000;-47,929540500000002
00000068;-16,428416700000000;-47,878830000000001
00000069;-3,139400300000000;-59,229019200000003
00000074;-16,549934600000000;-49,312308299999998
00000075;-16,671839400000000;-49,396346000000001
00000089;-16,425111699999999;-47,936266699999997
00000098;-16,439368999999999;-47,893562299999999
00000099;-16,387898300000000;-47,883991700000003
00000112;-16,691201700000001;-48,186586699999999
00000115;-16,695101699999999;-48,180920000000000
00000122;-16,358049999999999;-47,957463300000001
00000124;-16,704809999999998;-48,186008299999997
00000125;-16,699594999999999;-48,162728299999998
00000154;-16,435618300000002;-48,033985000000001
00000155;-16,473443799999998;-48,036106699999998
00000215;-16,395914999999999;-47,967253300000003
00000221;-16,435618300000002;-48,033985000000001
00000222;-16,686934999999998;-48,187449999999998
00000225;-16,449761400000000;-48,000362799999998
00000226;-16,435618300000002;-48,033985000000001
00000252;-19,862750500000001;-44,030563399999998
00000255;-16,612390200000000;-48,116575800000000
00000258;-16,395486699999999;-47,947291700000001
00000265;-16,467893300000000;-47,860759999999999
00000300;-9,763737300000001;-36,583881599999998
00000355;-16,378758900000001;-47,923843300000001
00000489;-9,544828000000001;-40,054702700000000
00000555;-16,435618300000002;-48,033985000000001
00000559;-16,359635000000001;-47,956308300000003
00000654;-16,431014999999999;-47,882773299999997
00000655;-16,458372000000001;-47,880974299999998
00000656;-5,004440600000000;-43,128272899999999
00000665;-16,444366700000000;-47,903595799999998
00000690;-9,941657299999999;-67,919527700000003
00000955;-16,484146700000000;-47,864951699999999
00000988;-16,440047300000000;-47,913623700000002
00001115;-16,695101699999999;-48,180920000000000
00001125;-16,628270000000001;-48,127550800000002
00001145;-16,359635000000001;-47,956308300000003
00001154;-16,699594999999999;-48,162728299999998
00001155;-16,435618300000002;-48,033985000000001
00001222;-16,699594999999999;-48,162728299999998
00001244;-16,699594999999999;-48,162728299999998
29194735;-19,808183700000001;-40,271999500000000
29194737;-19,805748000000001;-40,275942600000000
29194746;-19,807417099999999;-40,276978900000003
29194749;-19,808252499999998;-40,274036299999999
29194750;-19,933693699999999;-40,145249600000000
29194751;,000000000000000;,000000000000000
29194752;-19,820533800000000;-40,276821800000000
29194753;,000000000000000;,000000000000000
29194754;,000000000000000;,000000000000000
29194755;-19,803490300000000;-40,276668399999998
29194756;,000000000000000;,000000000000000
29194757;,000000000000000;,000000000000000
29194758;-19,820533800000000;-40,276821800000000
29194761;-19,808105399999999;-40,272728399999998
29194764;-19,807053000000000;-40,274210199999999
29194767;-19,806656700000001;-40,274252599999997
29194779;-19,807143900000000;-40,276619799999999
29194785;-19,803949100000001;-40,276523200000000